sentence_id,has_english,en_tokens,total_tokens,en_ratio
250,True,3,42,0.07142857142857142
251,True,1,10,0.1
252,True,2,13,0.15384615384615385
253,True,15,67,0.22388059701492538
254,True,3,19,0.15789473684210525
255,True,2,30,0.06666666666666667
256,True,1,10,0.1
257,True,1,27,0.037037037037037035
258,True,3,7,0.42857142857142855
259,True,1,10,0.1
260,True,1,11,0.09090909090909091
261,True,1,20,0.05
262,True,3,14,0.21428571428571427
263,True,1,17,0.058823529411764705
264,True,1,5,0.2
265,True,1,10,0.1
266,True,1,10,0.1
267,True,5,65,0.07692307692307693
268,True,1,15,0.06666666666666667
269,True,5,27,0.18518518518518517
270,True,2,16,0.125
271,True,5,23,0.21739130434782608
272,True,3,8,0.375
273,True,2,19,0.10526315789473684
274,True,1,55,0.01818181818181818
275,False,0,6,0.0
276,True,6,19,0.3157894736842105
277,True,4,10,0.4
278,True,2,8,0.25
279,True,1,5,0.2
280,True,3,14,0.21428571428571427
281,True,1,6,0.16666666666666666
282,True,3,11,0.2727272727272727
283,True,3,11,0.2727272727272727
284,True,1,17,0.058823529411764705
285,False,0,13,0.0
286,True,3,10,0.3
287,True,2,21,0.09523809523809523
288,True,1,5,0.2
289,True,1,25,0.04
290,True,4,20,0.2
291,True,2,28,0.07142857142857142
292,True,1,42,0.023809523809523808
293,True,1,10,0.1
294,True,5,18,0.2777777777777778
295,True,1,9,0.1111111111111111
296,False,0,19,0.0
297,True,4,47,0.0851063829787234
298,True,2,14,0.14285714285714285
299,True,3,30,0.1
300,True,1,3,0.3333333333333333
301,True,1,8,0.125
302,True,3,40,0.075
303,True,3,17,0.17647058823529413
304,True,2,16,0.125
305,True,1,9,0.1111111111111111
306,True,1,6,0.16666666666666666
307,True,1,5,0.2
308,True,1,9,0.1111111111111111
309,True,2,4,0.5
310,True,1,15,0.06666666666666667
311,False,0,13,0.0
312,True,1,10,0.1
313,True,2,16,0.125
314,True,4,17,0.23529411764705882
315,True,2,21,0.09523809523809523
316,True,1,7,0.14285714285714285
317,True,2,18,0.1111111111111111
318,True,3,67,0.04477611940298507
319,True,2,9,0.2222222222222222
320,True,1,53,0.018867924528301886
321,True,1,11,0.09090909090909091
322,True,2,8,0.25
323,True,1,13,0.07692307692307693
324,True,2,27,0.07407407407407407
325,True,3,28,0.10714285714285714
326,True,3,10,0.3
327,True,4,30,0.13333333333333333
328,True,4,49,0.08163265306122448
329,True,3,18,0.16666666666666666
330,True,2,4,0.5
331,True,2,4,0.5
332,True,2,16,0.125
333,True,2,12,0.16666666666666666
334,True,5,25,0.2
335,True,3,40,0.075
